geo,time,linear_tv_impression,linear_tv_spend,ctv_impression,ctv_spend,walmart_connect_impression,walmart_connect_spend,amazon_ads_impression,amazon_ads_spend,meta_impression,meta_spend,tiktok_impression,tiktok_spend,google_search_impression,google_search_spend,Organic_search_impression,pollen_index_control,competitor_spend_control,price_index_control,Promo,units,revenue_per_unit,population
New York,2023-01-01,2134603.4,38422.86,612976.4,20841.2,984370.3,11812.44,1661977.7,18281.75,1588542.6,14296.88,1247203.0,8730.42,205350.3,16428.02,1074659.3,0.3033,0.9066,0.9872,0.0,35721.11,21.2247,20100000
New York,2023-01-08,2522552.3,45405.94,584140.6,19860.78,1170538.2,14046.46,1554403.4,17098.44,1531341.9,13782.08,1367406.2,9571.84,202293.8,16183.51,1121747.5,0.3067,0.7979,1.0181,0.0,40588.5,21.8887,20100000
New York,2023-01-15,2431915.5,43774.48,589607.3,20046.65,1128235.4,13538.82,1376511.0,15141.62,2052166.0,18469.49,1363866.6,9547.07,193003.5,15440.28,1022275.0,0.3126,0.8654,1.0197,0.0,40346.4,21.9242,20100000
New York,2023-01-22,2587309.7,46571.57,589336.6,20037.45,1219559.5,14634.71,1529982.6,16829.81,1701845.1,15316.61,1277239.5,8940.68,180001.6,14400.12,1088440.9,0.3228,0.9405,0.9827,0.0,39311.68,21.1278,20100000
New York,2023-01-29,2024027.8,36432.5,647836.2,22026.43,920721.7,11048.66,1765863.4,19424.5,1795040.7,16155.37,1247569.7,8732.99,167107.5,13368.6,1063258.9,0.3392,0.7766,0.9868,0.0,43284.86,21.2157,20100000
New York,2023-02-05,2381327.9,42863.9,632903.9,21518.73,1177768.2,14133.22,1706462.0,18771.08,1863099.1,16767.89,1109849.9,7768.95,192029.7,15362.37,1136903.2,0.3644,0.8128,1.0137,0.0,45578.1,21.7938,20100000
New York,2023-02-12,2409280.9,43367.06,638032.6,21693.11,1240840.5,14890.09,1595964.0,17555.6,2104351.4,18939.16,1410518.8,9873.63,182337.7,14587.02,1161889.5,0.4007,1.0067,0.9939,0.0,42056.9,21.3685,20100000
New York,2023-02-19,2583530.3,46503.55,517001.9,17578.06,1380432.5,16565.19,1508260.1,16590.86,2121471.7,19093.25,1181465.7,8270.26,206737.6,16539.01,1221088.7,0.4502,0.9288,0.9317,1.0,51760.09,20.0319,20100000
New York,2023-02-26,3073402.6,55321.25,657876.2,22367.79,1187446.6,14249.36,1457640.7,16034.05,2170262.2,19532.36,1374344.3,9620.41,249366.8,19949.34,1226452.7,0.5136,1.1077,1.0028,0.0,50891.37,21.5608,20100000
New York,2023-03-05,2871411.2,51685.4,786540.3,26742.37,1220914.8,14650.98,2026010.6,22286.12,1847393.3,16626.54,1216882.6,8518.18,249194.7,19935.57,1376204.2,0.5896,1.1694,1.0051,0.0,52907.53,21.6099,20100000
New York,2023-03-12,3429747.2,61735.45,673694.8,22905.62,1146517.6,13758.21,2159586.9,23755.46,2607199.6,23464.8,1253966.9,8777.77,282375.6,22590.05,1640122.7,0.6742,1.2869,0.9321,1.0,65882.46,20.0399,20100000
New York,2023-03-19,3287106.0,59167.91,854996.5,29069.88,1564231.1,18770.77,2027128.7,22298.42,2191694.3,19725.25,1292793.7,9049.56,260923.7,20873.89,1706096.3,0.7609,1.2558,0.986,0.0,57502.9,21.1989,20100000
