Date,DMA,Medium,Cost,Impressions,Orders,Revenue,Population,BrandSentiment,CompetitorSpend
2025-01-01,North,Meta,5319,66109,409,24002,1800000,0.519,10718
2025-01-01,North,YouTube,2571,73319,323,16738,1800000,0.519,10718
2025-01-01,North,TV,7425,191159,406,24634,1800000,0.519,10718
2025-01-01,North,Paid Search,1949,68349,330,16521,1800000,0.519,10718
2025-01-01,North,TikTok,2745,47000,343,18565,1800000,0.519,10718
2025-01-01,South,Meta,4118,79011,289,17267,1200000,0.518,6554
2025-01-01,South,YouTube,1997,19379,223,12733,1200000,0.518,6554
2025-01-01,South,TV,5723,88963,286,16897,1200000,0.518,6554
2025-01-01,South,Paid Search,3987,79729,320,15976,1200000,0.518,6554
2025-01-01,South,TikTok,1334,50407,213,11079,1200000,0.518,6554
2025-01-01,East,Meta,3047,93169,216,10704,900000,0.513,9873
2025-01-01,East,YouTube,3082,25174,208,10823,900000,0.513,9873
2025-01-01,East,TV,3791,61375,204,10652,900000,0.513,9873
2025-01-01,East,Paid Search,3623,92610,263,12800,900000,0.513,9873
2025-01-01,East,TikTok,2532,63018,208,11207,900000,0.513,9873
2025-01-02,North,Meta,2959,109379,342,18411,1800000,0.514,8200
2025-01-02,North,YouTube,3472,29602,347,19884,1800000,0.514,8200
2025-01-02,North,TV,5800,91304,374,18400,1800000,0.514,8200
2025-01-02,North,Paid Search,2048,44515,334,20589,1800000,0.514,8200
2025-01-02,North,TikTok,2346,36828,332,16251,1800000,0.514,8200
2025-01-02,South,Meta,5975,153754,343,19984,1200000,0.504,8551
2025-01-02,South,YouTube,2940,67750,247,14029,1200000,0.504,8551
2025-01-02,South,TV,6351,250187,299,17582,1200000,0.504,8551
2025-01-02,South,Paid Search,2300,19595,257,14981,1200000,0.504,8551
2025-01-02,South,TikTok,2644,50325,255,13427,1200000,0.504,8551
2025-01-02,East,Meta,5374,73102,282,14695,900000,0.484,8822
2025-01-02,East,YouTube,3942,90145,230,11181,900000,0.484,8822
2025-01-02,East,TV,6625,186928,261,13257,900000,0.484,8822
2025-01-02,East,Paid Search,3578,35849,262,12730,900000,0.484,8822
2025-01-02,East,TikTok,2623,59400,211,12885,900000,0.484,8822
2025-01-03,North,Meta,4456,71769,386,23335,1800000,0.506,11924
2025-01-03,North,YouTube,3886,54852,358,20909,1800000,0.506,11924
2025-01-03,North,TV,5087,167805,360,21789,1800000,0.506,11924
2025-01-03,North,Paid Search,3712,69123,396,21152,1800000,0.506,11924
2025-01-03,North,TikTok,1507,29803,306,18859,1800000,0.506,11924
2025-01-03,South,Meta,5770,142039,337,19294,1200000,0.505,8483
2025-01-03,South,YouTube,4009,125348,275,14380,1200000,0.505,8483
2025-01-03,South,TV,3809,103904,248,13996,1200000,0.505,8483
2025-01-03,South,Paid Search,3612,91944,306,16513,1200000,0.505,8483
2025-01-03,South,TikTok,1846,19498,230,13261,1200000,0.505,8483
2025-01-03,East,Meta,5583,107651,289,16621,900000,0.499,5296
