week_start,region,channel,spend_sgd,impressions,conversions,revenue_sgd,population,sentiment_index,competitor_spend_sgd
2025-01-06,North,Meta,25951,392969,4570,221058,1800000,0.458,41251
2025-01-06,North,YouTube,25692,761880,4570,221058,1800000,0.458,41251
2025-01-06,North,TV,49412,532762,4570,221058,1800000,0.458,41251
2025-01-06,North,Paid Search,19063,170681,4570,221058,1800000,0.458,41251
2025-01-06,North,TikTok,12468,301369,4570,221058,1800000,0.458,41251
2025-01-06,South,Meta,30809,463802,3978,209690,1200000,0.432,72494
2025-01-06,South,YouTube,23705,803642,3978,209690,1200000,0.432,72494
2025-01-06,South,TV,28156,951285,3978,209690,1200000,0.432,72494
2025-01-06,South,Paid Search,22378,422676,3978,209690,1200000,0.432,72494
2025-01-06,South,TikTok,11899,459668,3978,209690,1200000,0.432,72494
2025-01-06,East,Meta,36255,990459,4332,260197,900000,0.426,44836
2025-01-06,East,YouTube,26646,835390,4332,260197,900000,0.426,44836
2025-01-06,East,TV,40869,1599601,4332,260197,900000,0.426,44836
2025-01-06,East,Paid Search,18542,475886,4332,260197,900000,0.426,44836
2025-01-06,East,TikTok,17965,499295,4332,260197,900000,0.426,44836
2025-01-06,West,Meta,21825,333764,3778,192425,1500000,0.455,75229
2025-01-06,West,YouTube,19657,207447,3778,192425,1500000,0.455,75229
2025-01-06,West,TV,33587,377251,3778,192425,1500000,0.455,75229
2025-01-06,West,Paid Search,17336,491335,3778,192425,1500000,0.455,75229
2025-01-06,West,TikTok,13783,273535,3778,192425,1500000,0.455,75229
2025-01-13,North,Meta,33255,914253,4647,277890,1800000,0.448,86833
2025-01-13,North,YouTube,18387,576103,4647,277890,1800000,0.448,86833
2025-01-13,North,TV,32499,654614,4647,277890,1800000,0.448,86833
2025-01-13,North,Paid Search,26342,750220,4647,277890,1800000,0.448,86833
2025-01-13,North,TikTok,15793,472332,4647,277890,1800000,0.448,86833
2025-01-13,South,Meta,21968,397500,4021,218839,1200000,0.479,51452
2025-01-13,South,YouTube,19715,290825,4021,218839,1200000,0.479,51452
2025-01-13,South,TV,51545,1857876,4021,218839,1200000,0.479,51452
2025-01-13,South,Paid Search,18098,524372,4021,218839,1200000,0.479,51452
2025-01-13,South,TikTok,14315,533456,4021,218839,1200000,0.479,51452
2025-01-13,East,Meta,31667,519584,4183,207205,900000,0.448,52331
2025-01-13,East,YouTube,24069,884062,4183,207205,900000,0.448,52331
2025-01-13,East,TV,38265,574674,4183,207205,900000,0.448,52331
2025-01-13,East,Paid Search,26440,642620,4183,207205,900000,0.448,52331
2025-01-13,East,TikTok,11523,109558,4183,207205,900000,0.448,52331
2025-01-13,West,Meta,29116,292118,4588,254715,1500000,0.47,79604
2025-01-13,West,YouTube,21280,848559,4588,254715,1500000,0.47,79604
2025-01-13,West,TV,41435,1619052,4588,254715,1500000,0.47,79604
2025-01-13,West,Paid Search,24769,207252,4588,254715,1500000,0.47,79604
